"subject"	"labels"	"mean"	"stdev"
"1"	1	"walking"	-0.0838573459916048	-0.302551798992919
"2"	1	"walking_upstairs"	-0.202237420225089	-0.428436196561521
"3"	1	"walking_downstairs"	-0.0349964672263018	-0.263719603503896
"4"	1	"sitting"	-0.487488828495867	-0.962531684925854
"5"	1	"standing"	-0.516975248009769	-0.986798479817038
"6"	1	"laying"	-0.466464695241624	-0.896699261804485
"7"	2	"walking"	-0.179377744257812	-0.471518668508629
"8"	2	"walking_upstairs"	-0.155899912507109	-0.385997363253851
"9"	2	"walking_downstairs"	-0.0128498425231206	-0.199973200120761
"10"	2	"sitting"	-0.500610030441972	-0.974113940790514
"11"	2	"standing"	-0.509458925821768	-0.970481596212121
"12"	2	"laying"	-0.50576115791339	-0.980492348554293
"13"	3	"walking"	-0.184906847435204	-0.450988754712889
"14"	3	"walking_upstairs"	-0.221951531400878	-0.494763604117052
"15"	3	"walking_downstairs"	-0.106137838485022	-0.35927889525865
"16"	3	"sitting"	-0.478944112603013	-0.936746787346154
"17"	3	"standing"	-0.489562657161571	-0.934573756328862
"18"	3	"laying"	-0.495139579001589	-0.973555798352884
"19"	4	"walking"	-0.227442395283293	-0.556813870101975
"20"	4	"walking_upstairs"	-0.201041619091582	-0.481670281281346
"21"	4	"walking_downstairs"	-0.133335907452141	-0.430345489469064
"22"	4	"sitting"	-0.484203136101009	-0.951483705307273
"23"	4	"standing"	-0.478668968631246	-0.931971966691558
"24"	4	"laying"	-0.496494719070863	-0.960841350255892
"25"	5	"walking"	-0.155142177775656	-0.426550893998593
"26"	5	"walking_upstairs"	-0.129397913853791	-0.359295474612702
"27"	5	"walking_downstairs"	-0.0430847556457143	-0.256359233626873
"28"	5	"sitting"	-0.483921969559625	-0.952403047947934
"29"	5	"standing"	-0.47296792859664	-0.923529957596862
"30"	5	"laying"	-0.505395795608001	-0.97277492210373
"31"	6	"walking"	-0.102949895258251	-0.359321371006842
"32"	6	"walking_upstairs"	-0.0890416065711943	-0.290928021342602
"33"	6	"walking_downstairs"	0.0741041451560101	-0.0757123543931742
"34"	6	"sitting"	-0.483739868346573	-0.949510577900826
"35"	6	"standing"	-0.49552886184261	-0.950810498112706
"36"	6	"laying"	-0.490068230923604	-0.938894773891707
"37"	7	"walking"	-0.0830516234370202	-0.286082417455657
"38"	7	"walking_upstairs"	-0.231834766139828	-0.493867277426738
"39"	7	"walking_downstairs"	-0.0622407365915023	-0.267075771251554
"40"	7	"sitting"	-0.485297754668864	-0.939410998802399
"41"	7	"standing"	-0.49712229567251	-0.954527409782733
"42"	7	"laying"	-0.495819744578019	-0.951894384892075
"43"	8	"walking"	-0.0628541721995309	-0.258282654667929
"44"	8	"walking_upstairs"	-0.0504608937056763	-0.243298670404065
"45"	8	"walking_downstairs"	0.085966626079681	-0.088038872473445
"46"	8	"sitting"	-0.489469650810414	-0.965444231379447
"47"	8	"standing"	-0.503983250586588	-0.966665007124242
"48"	8	"laying"	-0.491561903564916	-0.953251137141975
"49"	9	"walking"	-0.153452675501248	-0.420159775816509
"50"	9	"walking_upstairs"	-0.214015127123996	-0.490629371223921
"51"	9	"walking_downstairs"	-0.0601334227732157	-0.264963539122641
"52"	9	"sitting"	-0.480826574001152	-0.928220936999515
"53"	9	"standing"	-0.488015383285394	-0.950814844363636
"54"	9	"laying"	-0.508050878962618	-0.944242142015576
"55"	10	"walking"	-0.0841881981430086	-0.330444040259886
"56"	10	"walking_upstairs"	-0.0979337190150181	-0.33138123899396
"57"	10	"walking_downstairs"	-0.000249750597424243	-0.217214895073397
"58"	10	"sitting"	-0.502534954340297	-0.971721957250842
"59"	10	"standing"	-0.48951318794854	-0.953572276081267
"60"	10	"laying"	-0.541823106038124	-0.961084978136364
"61"	11	"walking"	-0.222529921708447	-0.535503995110734
"62"	11	"walking_upstairs"	-0.239938669371902	-0.50198701766128
"63"	11	"walking_downstairs"	-0.0974925076394664	-0.343943666544796
"64"	11	"sitting"	-0.490523100806718	-0.969903732115495
"65"	11	"standing"	-0.509348992988923	-0.985657370773694
"66"	11	"laying"	-0.50095320287773	-0.977547759728868
"67"	12	"walking"	-0.122791874169958	-0.389277124734909
"68"	12	"walking_upstairs"	-0.213995345759266	-0.494017099181002
"69"	12	"walking_downstairs"	-0.0633883264400636	-0.295167216690606
"70"	12	"sitting"	-0.492143016717083	-0.963695997290553
"71"	12	"standing"	-0.49414119824769	-0.944561812874814
"72"	12	"laying"	-0.498124792032077	-0.957088102540404
"73"	13	"walking"	-0.0996192234656832	-0.322358364868426
"74"	13	"walking_upstairs"	-0.206510439531774	-0.454771797975796
"75"	13	"walking_downstairs"	-0.0582178556565087	-0.283386205699099
"76"	13	"sitting"	-0.498864171673993	-0.971614675209029
"77"	13	"standing"	-0.511294929068831	-0.973488324742158
"78"	13	"laying"	-0.494984663416783	-0.967352157609971
"79"	14	"walking"	-0.177740629970004	-0.39895837100264
"80"	14	"walking_upstairs"	-0.0675839973893266	-0.154654281147419
"81"	14	"walking_downstairs"	0.0520165644020808	-0.0451783638523098
"82"	14	"sitting"	-0.500429006908068	-0.960128611305275
"83"	14	"standing"	-0.511858205016753	-0.955643634646465
"84"	14	"laying"	-0.478718255922756	-0.934842463238265
